created_at,hashtags,media,favorite_count,id,retweet_count,text,user_screen_name,user_name
Sat May 02 17:03:53 +0000 2015,purple newrigor,,0,594547870763765762,1,.@5CollDH #purple #newrigor taking up the ? of what ‘high risk’ means &amp; wondering how tied old model of demonstrating “unique-ness”,amplify285,Marisa Parham
Sat May 02 17:03:10 +0000 2015,GIS newrigor,,1,594547693097189377,1,Note - taking break from normal #GIS tweets to address questions at #newrigor @5collDH,SmithGIS,GIS @ Smith College
Sat May 02 17:03:04 +0000 2015,red newrigor,,0,594547665901334529,1,"#red group dives into a discussion of the ""high risk/high reward"" model and our experience as undergraduates #newrigor",sheishistoric,Emily Esten
Sat May 02 17:02:47 +0000 2015,newrigor red,,1,594547594396717056,1,#newrigor #red Talking about excessive focus on social entrepreneurship  and money making aspects of digital technology in academia,EcstaticPesse,Ecstatic Pessimist
Sat May 02 17:02:32 +0000 2015,orange newrigor,,0,594547530517630977,0,"“Evaluation &amp; assessment different for principal investigators”
UMass library different, national reputation ⇒ promotion.
#orange #newrigor",EduObservatory,Andy Anderson
Sat May 02 17:01:59 +0000 2015,blue NewRigor,,1,594547395800727553,1,what is twitter and how can academics best utilize it personally and professionally? #blue #NewRigor,_superluminal,liz alexander
Sat May 02 17:01:35 +0000 2015,newrigor purple,,1,594547295133245440,0,"#newrigor #purple tenure group &amp; we’re talking ab collaboration &amp; articulating how projs aren’t possible w/o staff, student, &amp; other collabs",amplify285,Marisa Parham
Sat May 02 17:00:30 +0000 2015,orange newrigor,,0,594547020192419842,2,"“How are questions of evaluation &amp; assessment different for principal investigators”
No major acks for scholarly work!
#orange #newrigor",EduObservatory,Andy Anderson
Sat May 02 16:59:24 +0000 2015,NewRigor blue,,0,594546743129309184,2,"#NewRigor #blue group: me, @mariinyrop @ByzCapp @Yael_Rice, and others! starting out immediately with a discussion of documentation",_superluminal,liz alexander
Sat May 02 16:55:02 +0000 2015,orange newrigor staff,,0,594545642757849088,0,@5collDH #orange #newrigor #staff beginning to answer question of evaluation / assessment as principal investigators,SmithGIS,GIS @ Smith College
